theta_arcmin,C,pairs
0.75,0.0005198350088129167,146455
1.5,-3.585745275812042e-05,553271
2.5,0.0001099732884829747,874728
4.0,-4.84111293173592e-05,2616993
6.0,-3.1268358430317705e-06,3651963
8.5,-6.644394192439979e-05,7278097
12.5,2.8842000963760504e-05,16106169
17.5,3.1701148632775745e-05,19953300
25.0,1.3855418739927326e-06,44776994
37.5,2.784204132203669e-05,60570404
52.5,3.775088677577713e-05,29552353
