theta_arcmin,C,pairs
0.75,-0.0005969178475592362,7006
1.5,-0.0010254874742652545,26812
2.5,0.00021837078314124474,41474
4.0,-0.0006877961303566829,124704
6.0,-0.00014080711703616018,175826
8.5,4.8215358211956406e-05,348090
12.5,-2.1894635369010494e-05,767214
17.5,-7.36381129662228e-05,960110
25.0,3.181427494158666e-05,2157040
37.5,2.2033813773718527e-05,2876028
52.5,-0.0001704440680193522,1371198
